Model,Requirement,Instance,Algorithm,FalsifyRunPass,InputValidationPass,OfficialReplayPass,FalsifyClassification,OfficialClassification,ClassificationAgreementPass,OverallPass,Status
CC,CCx,1,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CCx,1,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CCx,1,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CCx,1,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CCx,2,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CCx,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CCx,2,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
CC,CCx,2,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
NN,NN,1,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
NN,NN,1,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
NN,NN,1,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
NN,NN,1,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
NN,NN,2,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
NN,NN,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
NN,NN,2,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
NN,NN,2,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
NN,NNb,1,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
NN,NNb,1,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
NN,NNb,1,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
NN,NNb,1,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
NN,NNb,2,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
NN,NNb,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
NN,NNb,2,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
NN,NNb,2,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
NN,NNx,1,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
NN,NNx,1,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
NN,NNx,1,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
NN,NNx,1,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
NN,NNx,2,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
NN,NNx,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
NN,NNx,2,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
NN,NNx,2,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
F16,F16a,1,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
F16,F16a,1,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
F16,F16a,1,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
F16,F16a,1,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SC,SCa,1,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SC,SCa,1,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SC,SCa,1,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SC,SCa,1,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SC,SCa,2,RAND,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SC,SCa,2,A3C,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SC,SCa,2,ACER,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
SC,SCa,2,DDQN,1,1,1,SATISFIED,SATISFIED,1,1,VALIDATED
