Case,InputID,Source,Onset,Duration,MarginMPH,NormalMarginMPH,Violation,GearPass,HeldSamples,FirstReachSeconds,BeforeFaultError,SimulationSeconds
S03,I021,corner,5,1,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.448458083333333
S04,I021,corner,10,0.2,6.28239470764022,6.1863619008945,0,1,12,16.79,0,0.437846208333333
S05,I021,corner,10,0.5,6.52232557504365,6.1863619008945,0,1,42,16.66,0,0.457707958333333
S06,I021,corner,10,1,6.91519516100173,6.1863619008945,0,1,92,16.45,0,0.427032625
S07,I021,corner,15,0.2,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.44575425
S08,I021,corner,15,0.5,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.479812791666667
S09,I021,corner,15,1,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.444047041666667
B00,I022,corner,0,0,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.600392625
S01,I022,corner,5,0.2,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.724476333333333
S02,I022,corner,5,0.5,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.631543958333333
S03,I022,corner,5,1,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.620734125
S04,I022,corner,10,0.2,6.28239470764022,6.1863619008945,0,1,12,16.79,0,0.583752791666667
S05,I022,corner,10,0.5,6.52232557504365,6.1863619008945,0,1,42,16.66,0,0.530781833333333
S06,I022,corner,10,1,6.91519516100173,6.1863619008945,0,1,92,16.45,0,0.610716333333333
S07,I022,corner,15,0.2,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.5137525
S08,I022,corner,15,0.5,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.511821916666667
S09,I022,corner,15,1,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.529731125
B00,I023,corner,0,0,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.484937125
S01,I023,corner,5,0.2,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.497060916666667
S02,I023,corner,5,0.5,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.475848125
S03,I023,corner,5,1,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.472396666666667
S04,I023,corner,10,0.2,6.28239470764022,6.1863619008945,0,1,12,16.79,0,0.451548125
S05,I023,corner,10,0.5,6.52232557504365,6.1863619008945,0,1,42,16.66,0,0.454944291666667
S06,I023,corner,10,1,6.91519516100173,6.1863619008945,0,1,92,16.45,0,0.447427541666667
S07,I023,corner,15,0.2,6.1863619008945,6.1863619008945,0,1,0,16.84,0,0.444211208333333
